Date,Time_24hr,Lat,Lon,Alt,Rel_Alt
10/19/2016,14:05:13,33.4677258,-88.7625950,78.270,.89,
10/19/2016,14:05:14,33.4677259,-88.7625954,78.230,.49,
10/19/2016,14:05:14,33.4677259,-88.7625955,78.170,.49,
10/19/2016,14:05:15,33.4677256,-88.7625956,78.150,.110,
10/19/2016,14:05:15,33.4677254,-88.7625957,78.040,.49,
10/19/2016,14:05:16,33.4677250,-88.7625958,77.970,.20,
10/19/2016,14:05:16,33.4677248,-88.7625957,77.970,.20,
10/19/2016,14:05:17,33.4677243,-88.7625956,78.000,.40,
10/19/2016,14:05:17,33.4677242,-88.7625955,78.020,.40,
10/19/2016,14:05:18,33.4677241,-88.7625954,78.060,.20,
10/19/2016,14:05:19,33.4677242,-88.7625953,78.060,.30,
10/19/2016,14:05:20,33.4677245,-88.7625953,78.020,.20,
10/19/2016,14:05:20,33.4677248,-88.7625953,77.950,.49,
10/19/2016,14:05:21,33.4677250,-88.7625954,77.880,.70,
10/19/2016,14:05:21,33.4677253,-88.7625956,77.800,.49,
10/19/2016,14:05:21,33.4677257,-88.7625959,77.710,.40,
10/19/2016,14:05:22,33.4677260,-88.7625960,77.630,.40,
10/19/2016,14:05:23,33.4677262,-88.7625961,77.650,.30,
10/19/2016,14:05:23,33.4677262,-88.7625961,77.710,.40,
10/19/2016,14:05:24,33.4677262,-88.7625961,77.720,.30,
10/19/2016,14:05:25,33.4677262,-88.7625961,77.750,.20,
10/19/2016,14:05:25,33.4677262,-88.7625960,77.770,.30,
10/19/2016,14:05:26,33.4677260,-88.7625959,77.810,.40,
10/19/2016,14:05:26,33.4677258,-88.7625958,77.800,.20,
10/19/2016,14:05:27,33.4677255,-88.7625955,77.820,.40,
10/19/2016,14:05:27,33.4677251,-88.7625953,77.840,.60,
10/19/2016,14:05:28,33.4677250,-88.7625952,77.830,.20,
10/19/2016,14:05:29,33.4677246,-88.7625951,77.870,.30,
10/19/2016,14:05:29,33.4677242,-88.7625950,77.910,.30,
10/19/2016,14:05:30,33.4677237,-88.7625950,77.940,.60,
10/19/2016,14:05:30,33.4677234,-88.7625950,77.920,.40,
10/19/2016,14:05:31,33.4677232,-88.7625951,77.890,.30,
10/19/2016,14:05:31,33.4677230,-88.7625952,77.860,.70,
10/19/2016,14:05:32,33.4677228,-88.7625953,77.780,.30,
10/19/2016,14:05:33,33.4677227,-88.7625954,77.750,.20,
10/19/2016,14:05:33,33.4677227,-88.7625955,77.780,.49,
10/19/2016,14:05:34,33.4677226,-88.7625955,77.810,.20,
10/19/2016,14:05:34,33.4677226,-88.7625953,77.780,.30,
10/19/2016,14:05:35,33.4677225,-88.7625952,77.750,.40,
10/19/2016,14:05:35,33.4677224,-88.7625951,77.760,.20,
10/19/2016,14:05:36,33.4677224,-88.7625950,77.750,.0,
10/19/2016,14:05:36,33.4677223,-88.7625949,77.710,.-10,
10/19/2016,14:05:37,33.4677222,-88.7625947,77.730,.-20,
10/19/2016,14:05:37,33.4677222,-88.7625946,77.760,.0,
10/19/2016,14:05:38,33.4677222,-88.7625945,77.740,.20,
10/19/2016,14:05:38,33.4677223,-88.7625944,77.780,.60,
10/19/2016,14:05:39,33.4677224,-88.7625943,77.760,.60,
10/19/2016,14:05:39,33.4677223,-88.7625943,77.730,.10,
10/19/2016,14:05:40,33.4677221,-88.7625942,77.750,.20,
10/19/2016,14:05:40,33.4677221,-88.7625943,77.730,.-20,
10/19/2016,14:05:41,33.4677220,-88.7625943,77.750,.10,
10/19/2016,14:05:42,33.4677218,-88.7625943,77.810,.30,
10/19/2016,14:05:42,33.4677217,-88.7625942,77.840,.20,
10/19/2016,14:05:43,33.4677215,-88.7625941,77.820,.30,
10/19/2016,14:05:44,33.4677215,-88.7625942,77.790,.40,
10/19/2016,14:05:44,33.4677217,-88.7625943,77.700,.0,
10/19/2016,14:05:44,33.4677214,-88.7625945,77.730,.0,
10/19/2016,14:05:45,33.4677214,-88.7625945,77.800,.30,
10/19/2016,14:05:46,33.4677217,-88.7625945,77.860,.-20,
10/19/2016,14:05:46,33.4677222,-88.7625944,77.900,.10,
10/19/2016,14:05:47,33.4677228,-88.7625942,77.960,.40,
10/19/2016,14:05:47,33.4677235,-88.7625939,77.990,.30,
10/19/2016,14:05:48,33.4677243,-88.7625935,77.990,.10,
10/19/2016,14:05:49,33.4677248,-88.7625932,77.990,.-10,
10/19/2016,14:05:49,33.4677248,-88.7625929,78.040,.10,
10/19/2016,14:05:50,33.4677251,-88.7625924,78.050,.0,
10/19/2016,14:05:50,33.4677254,-88.7625920,78.110,.0,
10/19/2016,14:05:51,33.4677256,-88.7625916,78.120,.0,
